Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1551.8586460000001,0.624135,286625.0,68105.0
1555.0003179999999,0.625223,283247.0,67134.0
1558.13759,0.6258520000000001,279580.0,66169.0
1561.270463,0.625445,275916.0,65363.0
1564.398937,0.625341,272406.0,64547.0
1567.5230119999999,0.623861,268607.0,63864.0
1570.642687,0.623153,264680.0,63033.0
1573.7579640000001,0.622309,260746.0,62217.0
1576.868841,0.6212260000000001,256389.0,61330.0
1581.009834,0.619037,250907.0,60322.0
1584.110447,0.6194649999999999,246537.0,59213.0
1587.20666,0.6170220000000001,242256.0,58513.0
1590.298475,0.6160640000000001,237967.0,57604.0
1593.38589,0.612988,233203.0,56852.0
1596.468906,0.610401,228984.0,56157.0
1599.547522,0.6071409999999999,224495.0,55471.0
1602.62174,0.608391,220227.0,54260.0
1605.691559,0.603413,215691.0,53755.0
1608.756978,0.6004229999999999,211529.0,53082.0
1611.817998,0.5984010000000001,207524.0,52320.0
1614.874619,0.5945229999999999,202908.0,51615.0
1617.926841,0.592592,198282.0,50663.0
1620.974664,0.5914010000000001,193621.0,49608.0
1625.031584,0.588953,187499.0,48311.0
1628.069142,0.586809,182961.0,47375.0
1631.102301,0.5877,178360.0,46089.0
1634.131061,0.584853,173915.0,45236.0
1637.155422,0.584431,169329.0,44086.0
1640.175383,0.581064,165121.0,43325.0
1643.1909449999998,0.58207,160599.0,42041.0
1646.202108,0.580779,155727.0,40887.0
1649.2088720000002,0.5808,150646.0,39551.0
1652.211237,0.582233,145293.0,38020.0
1655.209203,0.580256,139391.0,36642.0
1658.202769,0.58555,132240.0,34341.0
1661.1919369999998,0.585645,123857.0,32157.0
1664.176705,0.5917789999999999,114216.0,29238.0
1668.149553,0.598193,98840.0,24931.0
1671.124056,0.605796,86505.0,21441.0
1674.0941599999999,0.6154189999999999,74014.0,17943.0
1677.059866,0.622654,62897.0,14996.0
1680.021172,0.628426,53019.0,12474.0
1682.978078,0.640967,44637.0,10203.0
1685.930586,0.665686,37827.0,8168.0
1688.8786949999999,0.6593220000000001,32430.0,7106.0
1691.822404,0.664705,27895.0,6037.0
1694.761714,0.673031,24144.0,5126.0
1697.696625,0.667617,21105.0,4537.0
1700.6271370000002,0.661176,18466.0,4029.0
